time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
11178,1,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11179,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11180,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11181,1,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11182,1,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11183,1,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11184,0,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11185,0,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11186,0,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11187,0,1,0,0,-2.0,2046.0,1.0,1.0,0,0,0,1,0,0,1
11188,0,1,1,0,-2.0,2046.0,1.0,1.0,0,0,0,1,0,0,1
11189,0,1,0,0,-2046.0,-2.0,1.0,1.0,0,0,0,1,0,0,1
11190,0,1,1,0,-2046.0,-2.0,1.0,1.0,0,0,0,1,0,0,1
11191,0,1,0,0,2.0,-2046.0,1.0,1.0,0,0,0,1,0,0,1
11192,0,1,1,0,2.0,-2046.0,1.0,1.0,0,0,0,1,0,0,1
11193,0,1,0,0,2046.0,2.0,1.0,1.0,0,0,0,1,0,0,1
11194,0,1,1,0,2046.0,2.0,1.0,1.0,0,0,0,1,0,0,1
11195,0,1,0,0,-2.0,2046.0,1.0,1.0,0,0,0,1,0,0,1
11196,0,1,1,0,-2.0,2046.0,1.0,1.0,0,0,0,1,0,0,1
11197,0,1,0,0,-2046.0,-2.0,1.0,1.0,0,0,0,1,0,0,1
11198,0,1,1,0,-2046.0,-2.0,1.0,1.0,0,0,0,1,0,0,1
11199,0,1,0,0,2.0,-2046.0,1.0,1.0,0,0,0,1,0,0,1
